nome_usina,fonte,capacidade_kw,latitude,longitude,data,curtailment_mw,codigo_ibge,nome_municipio,estado
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 02:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 02:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 03:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 03:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 04:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 04:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 05:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 05:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 06:00:00,7.388,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 06:30:00,6.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 07:00:00,6.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 07:30:00,6.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 08:00:00,1.333,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 08:30:00,0.333,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 09:00:00,0.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 09:30:00,0.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 10:00:00,0.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 10:30:00,0.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 11:00:00,0.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 11:30:00,0.9,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 12:00:00,1.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 12:30:00,1.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 13:00:00,1.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 13:30:00,1.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 14:00:00,1.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 14:30:00,1.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 15:00:00,1.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 15:30:00,1.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 16:00:00,2.6,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 16:30:00,4.916,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 17:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 17:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 18:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 18:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 19:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 19:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 20:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 20:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 21:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 21:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 22:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 22:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 23:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-02 23:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 00:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 00:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 01:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 01:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 02:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 02:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 03:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 03:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 04:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 04:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 05:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 05:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 06:00:00,11.733,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 06:30:00,14.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 07:00:00,12.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 07:30:00,7.733,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 08:00:00,5.833,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 08:30:00,4.467,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 09:00:00,3.9,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 09:30:00,3.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 10:00:00,3.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 10:30:00,3.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 11:00:00,2.3,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 11:30:00,2.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 12:00:00,2.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 12:30:00,2.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 13:00:00,2.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 13:30:00,2.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 14:00:00,2.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 14:30:00,2.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 15:00:00,3.233,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 15:30:00,4.933,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 16:00:00,5.9,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 16:30:00,7.667,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 17:00:00,13.633,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 17:30:00,12.263,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 18:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 18:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 19:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 19:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 20:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 20:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 21:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 21:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 22:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 22:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 23:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-03 23:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 00:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 00:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 01:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 01:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 02:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 02:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 03:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 03:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 04:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 04:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 05:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 05:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 06:00:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 06:30:00,,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 07:00:00,6.232,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 07:30:00,11.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 08:00:00,11.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 08:30:00,11.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 09:00:00,11.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 09:30:00,10.467,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 10:00:00,9.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 10:30:00,9.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 11:00:00,8.133,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 11:30:00,6.267,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 12:00:00,6.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 12:30:00,6.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 13:00:00,6.8,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 13:30:00,8.2,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 14:00:00,9.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 14:30:00,10.2,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 15:00:00,11.0,2305308,Ibiapina,CE
Malhadinha 1,Eólica,23100,-3.94661349,-41.12303536,2026-05-04 15:30:00,11.0,2305308,Ibiapina,CE
